"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Contrary [[to]] other reviews, [[I]] have zero [[complaints]] about the service or the prices. [[I]] have been getting tire service here for the past 5 years [[now]], and compared to my experience with places like Pep Boys, these [[guys]] are experienced and know what they're [[doing]]. \[[nAlso]], this is one place that I do not feel like I am being taken advantage of, [[just]] because of my gender. Other [[auto]] [[mechanics]] have been [[notorious]] for capitalizing on my ignorance [[of]] cars, and have sucked my bank account dry. [[But]] here, my service and road coverage has all been well explained - and let up to me to [[decide]]. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.","Contrary [[of]] other reviews, [[1]] have zero [[complaint]] about the service or the prices. [[1]] have been getting tire service here for the past 5 years [[currently]], and compared to my experience with places like Pep Boys, these [[boys]] are experienced and know what they're [[done]]. \[[nalsy]], this is one place that I do not feel like I am being taken advantage of, [[only]] because of my gender. Other [[vehicle]] [[mechanic]] have been [[renowned]] for capitalizing on my ignorance [[to]] cars, and have sucked my bank account dry. [[although]] here, my service and road coverage has all been well explained - and let up to me to [[decided]]. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.",0.0009812116622924805,0.5533182621002197,1,0,1,178,"Successful"
"Last summer I [[had]] an appointment to get new tires and [[had]] to wait a super long time. I also went in this week [[for]] them to fix a [[minor]] [[problem]] with a tire they put on. They \""""fixed\"""" it for free, and the very next morning I had the same issue. I called to complain, and the \""""manager\"""" [[didn't]] even [[apologize]]!!! So [[frustrated]]. Never going back.  They [[seem]] [[overpriced]], too.","Last summer I [[has]] an appointment to get new tires and [[have]] to wait a super long time. I also went in this week [[at]] them to fix a [[small]] [[problems]] with a tire they put on. They \""""fixed\"""" it for free, and the very next morning I had the same issue. I called to complain, and the \""""manager\"""" [[didn]].. even [[apologized]]!!! So [[disappointed]]. Never going back.  They [[seems]] [[underpravailabled]], too.",0.0004011988639831543,0.0007647275924682617,0,0,0,144,"Failed"
"Friendly staff, same starbucks fair you get [[anywhere]] [[else]].  [[Sometimes]] the lines can get [[long]].","Friendly staff, same starbucks fair you get [[somewhere]] [[elsewhere]].  [[occasionally]] the lines can get [[lengthy]].",0.020211517810821533,0.2690311074256897,1,1,1,27,"Failed"
"The food is good. [[Unfortunately]] the service is very hit or [[miss]]. The main [[issue]] [[seems]] to [[be]] with the [[kitchen]], the [[waiters]] and [[waitresses]] are [[often]] very apologetic for the long [[waits]] and [[it's]] pretty [[obvious]] that some of them avoid the [[tables]] after [[taking]] the [[initial]] [[order]] to avoid hearing complaints.","The food is good. [[sadly]] the service is very hit or [[missed]]. The main [[matter]] [[seem]] to [[are]] with the [[cooking]], the [[waiterthey]] and [[waitressthe]] are [[usually]] very apologetic for the long [[waiting]] and [[it't]] pretty [[noticeable]] that some of them avoid the [[table]] after [[take]] the [[original]] [[orders]] to avoid hearing complaints.",0.010129749774932861,0.1251974105834961,0,0,0,124,"Failed"
"Even when we [[didn't]] have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually [[I]] find 3-4 things and spend about $60) and better still, I am [[always]] still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the best shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a [[sale]]. Selection, bargains AND quality.\n\nI like this [[Filene's]] better [[than]] Gabriel Brothers, which [[are]] harder to get to. Gabriel Brothers are a real discount [[shopper's]] [[challenge]] and [[I'm]] afraid I [[didn't]] live [[in]] Pittsburgh long enough to develop the necessary skills . . . [[Filene's]] [[was]] still up and [[running]] in June 2007 when I left [[town]].","Even when we [[didn'n]] have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually [[i]] find 3-4 things and spend about $60) and better still, I am [[constantly]] still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the best shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a [[selling]]. Selection, bargains AND quality.\n\nI like this [[filene't]] better [[then]] Gabriel Brothers, which [[be]] harder to get to. Gabriel Brothers are a real discount [[shopper'the]] [[challenges]] and [[i]].' afraid I [[didn'd]] live [[into]] Pittsburgh long enough to develop the necessary skills . . . [[filene'location]] [[became]] still up and [[run]] in June 2007 when I left [[city]].",0.003340005874633789,0.6150351762771606,1,0,1,257,"Successful"
"Picture Billy [[Joel's]] \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and [[comedy]] - Welcome to Sing [[Sing]]!  A [[unique]] [[musical]] [[experience]] [[found]] [[in]] Homestead.\n\[[nIf]] [[you're]] [[looking]] to grab a bite to eat or a beer, [[come]] on [[in]]!  [[Serving]] food and brews from Rock Bottom Brewery, Sing Sing keeps your [[tummy]] full [[while]] you [[listen]] to [[two]] (or more) [[amazingly]] talented [[pianists]] take your musical requests.  [[They'll]] play anything [[you'd]] like, for tips of course.  Wanting to hear Britney Spears?  [[Toto]]?  Duran Duran?  [[Yep]], they play that... new or old.\n\[[nThe]] crowd makes the show, so make sure you come ready [[for]] a good [[time]].  [[If]] the crowd is dead, it's harder [[for]] the Guys to get a reaction.  [[If]] [[you're]] wanting to have some fun, it can be a [[GREAT]] time!  It's the perfect place [[for]] Birthday [[parties]] - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a [[little]] [[ditty]].  For being a good sport, you get the coveted Sing Sing bumper [[sticker]].  Now who [[wouldn't]] want that?\n\[[nDueling]] [[Pianos]] and brews... time to Shut Up & [[Sing]] Sing!","Picture Billy [[joel']]: \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and [[comedian]] - Welcome to Sing [[sing]]!  A [[peculiar]] [[music]] [[experiences]] [[discovered]] [[at]] Homestead.\n\[[niv]] [[you']]. [[searching]] to grab a bite to eat or a beer, [[coming]] on [[into]]!  [[serve]] food and brews from Rock Bottom Brewery, Sing Sing keeps your [[tusoul]] full [[whilst]] you [[hear]] to [[2]] (or more) [[incredibly]] talented [[pianistto]] take your musical requests.  [[they't]] play anything [[you'wouldn]] like, for tips of course.  Wanting to hear Britney Spears?  [[totha]]?  Duran Duran?  [[yes]], they play that... new or old.\n\[[nta]] crowd makes the show, so make sure you come ready [[during]] a good [[moment]].  [[though]] the crowd is dead, it's harder [[at]] the Guys to get a reaction.  [[unless]] [[you'want]] wanting to have some fun, it can be a [[huge]] time!  It's the perfect place [[in]] Birthday [[party]] - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a [[small]] [[diline]].  For being a good sport, you get the coveted Sing Sing bumper [[stick-]].  Now who [[wouldn'e]] want that?\n\[[nduering]] [[pianos]] and brews... time to Shut Up & [[sings]] Sing!",0.00218045711517334,0.5113179683685303,1,0,1,448,"Successful"
"Mediocre service. COLD [[food]]! Our food waited so long the [[lettuce]] & pickles [[wilted]]. Bland food. Crazy [[overpriced]]. Long waits [[in]] the arcade. [[1]] beer per [[hour]] maximum.  Avoid [[at]] [[all]] [[costs]]. Fair manager.","Mediocre service. COLD [[foods]]! Our food waited so long the [[figtunce]] & pickles [[wils]]. Bland food. Crazy [[overpricet]]. Long waits [[for]] the arcade. [[maximum]] beer per [[hours]] maximum.  Avoid [[in]] [[everything]] [[prices]]. Fair manager.",0.0002657771110534668,0.00042897462844848633,0,0,0,110,"Failed"
"Ok! Let me tell you about my bad [[experience]] first. I went to D&B last night [[for]] a post wedding party - which, side note, is a great idea!\n\[[nIt]] was around midnight and the bar [[wasn't]] really populated. There were three [[bartenders]] and only [[one]] was actually making rounds to see if anyone needed [[anything]]. The two other [[bartenders]] were chatting on the far side of the bar that no one [[was]] sitting [[at]]. Kind of counter productive [[if]] you ask me. \n\nI stood there for about 5 minutes, which for a busy bar is fine [[but]] when I am the only one with my card out then, it [[just]] seems a little [[ridiculous]]. I made eye contact with the one [[girl]] twice and gave her a [[smile]] and she literally turned away. I [[finally]] had to walk to them to [[get]] their attention.  I was standing right in front of them smiling and they [[didn't]] ask if [[i]] need anything. I finally [[said]], \""""Are you [[working]]?\"""" and they gave each other a [[weird]] look. I felt like i was the crazy one. I asked [[for]] a beer/[[got]] the beer.\n\[[nIn]] between that time, the other bartender brought food over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the bar. What the hell! I felt like i [[was]] in some [[grimy]] bar in out in the sticks - not an established D&B. \n\nI was just really turned off from that [[experience]]. \n\[[nThe]] good is that D&B provides a different type of entertainment [[when]] you want [[to]] [[mix]] things up. I remember [[going]] here with my grandparents when I was a kid and it [[was]] the best treat ever! We would eat [[at]] the [[restaurant]] and [[then]] spend [[hours]] playing [[games]]. This place holds some really good memories for me. \n\nIt's a shame that my [[experience]] last night [[has]] spoiled the [[high]] standards [[I]] held for it.","Ok! Let me tell you about my bad [[experiences]] first. I went to D&B last night [[during]] a post wedding party - which, side note, is a great idea!\n\[[niit]] was around midnight and the bar [[wasn'd]] really populated. There were three [[bartenderthere]] and only [[1]] was actually making rounds to see if anyone needed [[something]]. The two other [[bartenderies]] were chatting on the far side of the bar that no one [[were]] sitting [[into]]. Kind of counter productive [[though]] you ask me. \n\nI stood there for about 5 minutes, which for a busy bar is fine [[although]] when I am the only one with my card out then, it [[only]] seems a little [[silly]]. I made eye contact with the one [[chick]] twice and gave her a [[grin]] and she literally turned away. I [[eventually]] had to walk to them to [[got]] their attention.  I was standing right in front of them smiling and they [[didn'no]] ask if [[1]] need anything. I finally [[say]], \""""Are you [[works]]?\"""" and they gave each other a [[curious]] look. I felt like i was the crazy one. I asked [[in]] a beer/[[get]] the beer.\n\[[nian]] between that time, the other bartender brought food over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the bar. What the hell! I felt like i [[were]] in some [[grimer]] bar in out in the sticks - not an established D&B. \n\nI was just really turned off from that [[experiences]]. \n\[[nth]] good is that D&B provides a different type of entertainment [[whenever]] you want [[of]] [[mixes]] things up. I remember [[go]] here with my grandparents when I was a kid and it [[became]] the best treat ever! We would eat [[for]] the [[diner]] and [[later]] spend [[hour]] playing [[game]]. This place holds some really good memories for me. \n\nIt's a shame that my [[experiences]] last night [[had]] spoiled the [[higher]] standards [[i]] held for it.",0.01921534538269043,0.5233748555183411,0,1,0,542,"Successful"
"I used to [[love]] D&B when it first [[opened]] [[in]] the Waterfront, [[but]] it [[has]] [[gone]] down hill over the [[years]]. The [[games]] are not as fun and [[do]] not give you as many tickets and the [[prizes]] have gotten cheaper [[in]] quality. It takes a whole heck of a [[lot]] of [[tickets]] for you to even [[get]] a pencil! The [[atmosphere]] is okay but it [[used]] to [[be]] so [[much]] [[better]] with the [[funnest]] games and diverse [[groups]] [[of]] people! [[Now]], it is [[run]] down and many of the games [[are]] app [[related]] [[games]] ([[Fruit]] Ninja) and [[3D]] [[Experience]] rides. With such \""""[[games]]\"""", you [[can't]] even [[earn]] tickets and they take a [[lot]] of [[tokens]]! [[Last]] [[time]] I went, back in the [[winter]], many of the games were [[broken]], which made for a [[negative]] player [[experience]]. I would go to D&B to [[play]] [[some]] games again [[in]] the [[future]], [[but]] it is [[no]] longer [[one]] of my favorite places [[to]] go due to the [[decline]] [[of]] fun [[games]] where you can [[earn]] tickets.","I used to [[loves]] D&B when it first [[opens]] [[into]] the Waterfront, [[though]] it [[had]] [[faded]] down hill over the [[ages]]. The [[game]] are not as fun and [[doing]] not give you as many tickets and the [[awards]] have gotten cheaper [[at]] quality. It takes a whole heck of a [[lots]] of [[ticket]] for you to even [[gets]] a pencil! The [[mood]] is okay but it [[use]] to [[are]] so [[very]] [[best]] with the [[funnesbiggest]] games and diverse [[group]] [[to]] people! [[nowadays]], it is [[running]] down and many of the games [[be]] app [[connected]] [[gaming]] ([[fruits]] Ninja) and [[realistic]] [[3d]] rides. With such \""""[[gaming]]\"""", you [[can're]] even [[gain]] tickets and they take a [[lots]] of [[tokenpoints]]! [[last]] [[times]] I went, back in the [[winters]], many of the games were [[broke]], which made for a [[bad]] player [[experiences]]. I would go to D&B to [[playing]] [[certain]] games again [[at]] the [[upcoming]], [[although]] it is [[not]] longer [[1]] of my favorite places [[of]] go due to the [[fall]] [[to]] fun [[game]] where you can [[win]] tickets.",0.0016603469848632812,0.19846689701080322,0,0,0,347,"Failed"
"Like [[any]] Barnes & Noble, it has a nice [[comfy]] cafe, and a large selection of books.  The staff is [[very]] friendly and helpful.  They stock a decent [[selection]], and the [[prices]] are [[pretty]] reasonable.  [[Obviously]] [[it's]] [[hard]] for them [[to]] compete with [[Amazon]].  [[However]] since all the small [[shop]] [[bookstores]] are [[gone]], it's [[nice]] to [[walk]] [[into]] one every once [[in]] a while.","Like [[every]] Barnes & Noble, it has a nice [[com-]] cafe, and a large selection of books.  The staff is [[much]] friendly and helpful.  They stock a decent [[selections]], and the [[costs]] are [[quite]] reasonable.  [[clearly]] [[it'means]] [[difficult]] for them [[of]] compete with [[oclc]].  [[though]] since all the small [[store]] [[bookstore]], are [[disappeared]], it's [[pleasant]] to [[stroll]] [[at]] one every once [[during]] a while.",0.0006116628646850586,0.01964026689529419,1,1,1,153,"Failed"
