"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Contrary to other reviews, I have [[zero]] [[complaints]] about the service or the prices. I have been getting tire service here for the past 5 years now, and compared to my experience with places like Pep Boys, these guys are experienced and know what they're doing. \nAlso, this is one place that I do not feel like I am being taken advantage of, just because of my gender. Other auto mechanics have been notorious for capitalizing on my ignorance of cars, and have sucked my bank account dry. [[But]] here, my service and road coverage has all been well explained - and let up to me to [[decide]]. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.","Contrary to other reviews, I have [[zbro]] [[comphlaints]] about the service or the prices. I have been getting tire service here for the past 5 years now, and compared to my experience with places like Pep Boys, these guys are experienced and know what they're doing. \nAlso, this is one place that I do not feel like I am being taken advantage of, just because of my gender. Other auto mechanics have been notorious for capitalizing on my ignorance of cars, and have sucked my bank account dry. [[Buo]] here, my service and road coverage has all been well explained - and let up to me to [[deride]]. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.",0.005630195140838623,0.6921024322509766,1,0,1,79,"Successful"
"Last summer I had an appointment to get new tires and had to wait a super long time. I also went in this week for them to [[fix]] a minor problem with a tire they put on. They \""""fixed\"""" it for free, and the very [[next]] [[morning]] I had the same issue. I called to complain, and the \""""manager\"""" didn't [[even]] apologize!!! So [[frustrated]]. [[Never]] going back.  [[They]] [[seem]] [[overpriced]], too.","Last summer I had an appointment to get new tires and had to wait a super long time. I also went in this week for them to [[fxi]] a minor problem with a tire they put on. They \""""fixed\"""" it for free, and the very [[netx]] [[morniLng]] I had the same issue. I called to complain, and the \""""manager\"""" didn't [[egven]] apologize!!! So [[fruMtrated]]. [[NeveVr]] going back.  [[TZhey]] [[esem]] [[Averpriced]], too.",0.00023728609085083008,0.5946328043937683,0,1,0,98,"Successful"
"[[Friendly]] staff, same starbucks fair you get anywhere else.  Sometimes the lines can get long.","[[Fiendly]] staff, same starbucks fair you get anywhere else.  Sometimes the lines can get long.",0.03641539812088013,0.992143988609314,1,0,1,16,"Successful"
"[[The]] food is good. [[Unfortunately]] the service is very hit or miss. The main issue seems to be with the kitchen, the waiters and waitresses are [[often]] very apologetic for the long waits and it's pretty [[obvious]] that some of them avoid the [[tables]] after taking the initial order to avoid hearing complaints.","[[Teh]] food is good. [[Unfortunateyl]] the service is very hit or miss. The main issue seems to be with the kitchen, the waiters and waitresses are [[oten]] very apologetic for the long waits and it's pretty [[obvous]] that some of them avoid the [[Sables]] after taking the initial order to avoid hearing complaints.",0.013590514659881592,0.5472663640975952,0,1,0,49,"Successful"
"Even when we didn't have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually I find 3-4 things and spend about $60) and better still, I am always still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the best shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a sale. Selection, bargains [[AND]] quality.\n\nI like this Filene's better than Gabriel Brothers, which are harder to get to. Gabriel Brothers are a real discount shopper's challenge and [[I'm]] afraid I didn't live in Pittsburgh long enough to develop the necessary skills . . . Filene's was [[still]] up and running in June 2007 when I [[left]] [[town]].","Even when we didn't have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually I find 3-4 things and spend about $60) and better still, I am always still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the best shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a sale. Selection, bargains [[cAND]] quality.\n\nI like this Filene's better than Gabriel Brothers, which are harder to get to. Gabriel Brothers are a real discount shopper's challenge and [[I'gm]] afraid I didn't live in Pittsburgh long enough to develop the necessary skills . . . Filene's was [[till]] up and running in June 2007 when I [[Meft]] [[ftown]].",0.01689291000366211,0.7498304843902588,1,0,1,109,"Successful"
"Picture Billy Joel's \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and comedy - Welcome to Sing Sing!  A unique musical experience found in Homestead.\n\nIf you're looking to grab a bite to eat or a beer, come on in!  [[Serving]] food and brews from Rock Bottom [[Brewery]], Sing [[Sing]] [[keeps]] your tummy full while you listen to two (or more) amazingly talented pianists take your musical requests.  They'll play [[anything]] you'd like, for tips of course.  Wanting to hear Britney Spears?  Toto?  Duran Duran?  Yep, they play that... new or old.\n\nThe crowd makes the show, so make sure you come ready for a good time.  If the crowd is dead, it's harder for the Guys to get a reaction.  If you're wanting to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who wouldn't want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!","Picture Billy Joel's \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and comedy - Welcome to Sing Sing!  A unique musical experience found in Homestead.\n\nIf you're looking to grab a bite to eat or a beer, come on in!  [[Serfving]] food and brews from Rock Bottom [[sBrewery]], Sing [[Sign]] [[kDeeps]] your tummy full while you listen to two (or more) amazingly talented pianists take your musical requests.  They'll play [[naything]] you'd like, for tips of course.  Wanting to hear Britney Spears?  Toto?  Duran Duran?  Yep, they play that... new or old.\n\nThe crowd makes the show, so make sure you come ready for a good time.  If the crowd is dead, it's harder for the Guys to get a reaction.  If you're wanting to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who wouldn't want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!",0.0092049241065979,0.6039000153541565,1,0,1,144,"Successful"
"[[Mediocre]] [[service]]. [[COLD]] food! [[Our]] [[food]] [[waited]] so [[long]] the lettuce & [[pickles]] [[wilted]]. [[Bland]] [[food]]. [[Crazy]] [[overpriced]]. Long [[waits]] in the arcade. 1 beer [[per]] hour maximum.  Avoid at all costs. Fair manager.","[[Meidocre]] [[ervice]]. [[COLoD]] food! [[uOr]] [[fxood]] [[waitd]] so [[loTng]] the lettuce & [[piclkes]] [[wlited]]. [[lBand]] [[foMd]]. [[Crzay]] [[oveorpriced]]. Long [[Qaits]] in the arcade. 1 beer [[Rper]] hour maximum.  Avoid at all costs. Fair manager.",0.0002866387367248535,0.5190521478652954,0,1,0,94,"Successful"
"Ok! [[Let]] me [[tell]] you about my [[bad]] experience first. I went to D&B last night for a post wedding party - which, side note, is a great idea!\n\[[nIt]] was around midnight and the [[bar]] wasn't really populated. There were three bartenders and only [[one]] was actually making rounds to see if anyone needed anything. The two other bartenders were chatting on the far side of the [[bar]] that no [[one]] was sitting at. Kind of [[counter]] productive if you ask me. \n\nI stood there for about 5 minutes, which for a busy [[bar]] is fine but when I am the only one with my card out then, it just seems a little ridiculous. I made eye contact with the [[one]] girl twice and gave her a smile and she literally turned away. I finally had to walk to them to get their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I finally said, \""""Are you working?\"""" and they gave each other a weird look. I felt like i was the crazy one. I asked for a [[beer]]/got the [[beer]].\n\[[nIn]] between that time, the other bartender brought [[food]] over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the [[bar]]. [[What]] the hell! I felt like i was in some [[grimy]] [[bar]] in out in the sticks - not an established D&B. \n\nI was just really [[turned]] off from that experience. \n\[[nThe]] good is that D&B provides a different type of entertainment when you want to mix things up. I remember going here with my grandparents when I was a [[kid]] and it was the best treat ever! We would eat at the restaurant and then spend hours playing games. This [[place]] holds some really good memories for me. \n\[[nIt's]] a [[shame]] that my [[experience]] [[last]] [[night]] has spoiled the high [[standards]] I held for it.","Ok! [[LIt]] me [[tel]] you about my [[bay]] experience first. I went to D&B last night for a post wedding party - which, side note, is a great idea!\n\[[nIc]] was around midnight and the [[br]] wasn't really populated. There were three bartenders and only [[ne]] was actually making rounds to see if anyone needed anything. The two other bartenders were chatting on the far side of the [[br]] that no [[ne]] was sitting at. Kind of [[couter]] productive if you ask me. \n\nI stood there for about 5 minutes, which for a busy [[ba]] is fine but when I am the only one with my card out then, it just seems a little ridiculous. I made eye contact with the [[ne]] girl twice and gave her a smile and she literally turned away. I finally had to walk to them to get their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I finally said, \""""Are you working?\"""" and they gave each other a weird look. I felt like i was the crazy one. I asked for a [[bee]]/got the [[been]].\n\[[In]] between that time, the other bartender brought [[Wood]] over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the [[ar]]. [[hat]] the hell! I felt like i was in some [[grmy]] [[Car]] in out in the sticks - not an established D&B. \n\nI was just really [[urned]] off from that experience. \n\[[nThoe]] good is that D&B provides a different type of entertainment when you want to mix things up. I remember going here with my grandparents when I was a [[hid]] and it was the best treat ever! We would eat at the restaurant and then spend hours playing games. This [[plce]] holds some really good memories for me. \n\[[nIKt's]] a [[hsame]] that my [[exprience]] [[lRst]] [[nigh]] has spoiled the high [[kstandards]] I held for it.",0.002315998077392578,0.373096227645874,0,0,0,493,"Failed"
"I used to love D&B when it first opened in the Waterfront, but it has gone down [[hill]] over the [[years]]. The [[games]] are not as [[fun]] and do not [[give]] you as many [[tickets]] and the prizes have gotten cheaper in quality. It takes a whole heck of a lot of tickets for you to [[even]] get a [[pencil]]! The [[atmosphere]] is okay but it used to be so much [[better]] with the [[funnest]] games and diverse groups of people! Now, it is [[run]] down and many of the [[games]] are app related games ([[Fruit]] Ninja) and 3D Experience rides. With such \""""games\"""", you [[can't]] [[even]] earn tickets and they take a lot of [[tokens]]! Last [[time]] I went, back in the winter, many of the games were broken, which made for a [[negative]] player experience. I would go to D&B to [[play]] some [[games]] again in the [[future]], but it is no longer [[one]] of my favorite places to [[go]] due to the decline of fun [[games]] where you can earn tickets.","I used to love D&B when it first opened in the Waterfront, but it has gone down [[ihll]] over the [[yenrs]]. The [[Qames]] are not as [[hun]] and do not [[Ogive]] you as many [[tickevts]] and the prizes have gotten cheaper in quality. It takes a whole heck of a lot of tickets for you to [[eveq]] get a [[pencifl]]! The [[amosphere]] is okay but it used to be so much [[betser]] with the [[funnesN]] games and diverse groups of people! Now, it is [[ru]] down and many of the [[ames]] are app related games ([[FruiBt]] Ninja) and 3D Experience rides. With such \""""games\"""", you [[ca'nt]] [[evne]] earn tickets and they take a lot of [[tokes]]! Last [[tixme]] I went, back in the winter, many of the games were broken, which made for a [[negatPve]] player experience. I would go to D&B to [[cplay]] some [[gqames]] again in the [[fuutre]], but it is no longer [[oen]] of my favorite places to [[gio]] due to the decline of fun [[gamas]] where you can earn tickets.",0.0011259913444519043,0.10715466737747192,0,0,0,200,"Failed"
"[[Like]] any Barnes & Noble, it has a nice comfy cafe, and a large selection of books.  The staff is very friendly and helpful.  They stock a decent selection, and the prices are pretty reasonable.  [[Obviously]] it's [[hard]] for them to compete with Amazon.  [[However]] since all the small shop bookstores are gone, it's [[nice]] to walk into one [[every]] once in a while.","[[Lik]] any Barnes & Noble, it has a nice comfy cafe, and a large selection of books.  The staff is very friendly and helpful.  They stock a decent selection, and the prices are pretty reasonable.  [[Obvuously]] it's [[harx]] for them to compete with Amazon.  [[Howveer]] since all the small shop bookstores are gone, it's [[ice]] to walk into one [[evNery]] once in a while.",0.0005090236663818359,0.9050256609916687,1,0,1,58,"Successful"
