"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Contrary to other reviews, I have [[zero]] [[complaints]] about the service or the prices. I have been getting tire service here for the past 5 years now, and compared to my experience with places like Pep Boys, these guys are experienced and know what they're doing. \nAlso, this is one place that I do not feel like I am being taken advantage of, just because of my gender. Other auto mechanics have been notorious for capitalizing on my ignorance of cars, and have sucked my bank account dry. But here, my service and road coverage has all been well explained - and let up to me to decide. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.","Contrary to other reviews, I have [[naught]] [[affirmation]] about the service or the prices. I have been getting tire service here for the past 5 years now, and compared to my experience with places like Pep Boys, these guys are experienced and know what they're doing. \nAlso, this is one place that I do not feel like I am being taken advantage of, just because of my gender. Other auto mechanics have been notorious for capitalizing on my ignorance of cars, and have sucked my bank account dry. But here, my service and road coverage has all been well explained - and let up to me to decide. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.",0.005630195140838623,0.839086651802063,1,0,1,110,"Successful"
"[[Last]] summer I had an appointment to get new tires and had to wait a super long time. I also went in this [[week]] for them to fix a minor problem with a tire they put on. They \""""fixed\"""" it for free, and the very next morning I [[had]] the same issue. I called to complain, and the \""""manager\"""" didn't even [[apologize]]!!! So [[frustrated]]. [[Never]] going back.  They [[seem]] [[overpriced]], too.","[[Eventual]] summer I had an appointment to get new tires and had to wait a super long time. I also went in this [[weekend]] for them to fix a minor problem with a tire they put on. They \""""fixed\"""" it for free, and the very next morning I [[enjoys]] the same issue. I called to complain, and the \""""manager\"""" didn't even [[excuses]]!!! So [[disenchanted]]. [[Siempre]] going back.  They [[gaze]] [[foreclosed]], too.",0.00023728609085083008,0.8911762237548828,0,1,0,196,"Successful"
"[[Friendly]] staff, same starbucks fair you get anywhere else.  Sometimes the lines can get long.","[[Unpretentious]] staff, same starbucks fair you get anywhere else.  Sometimes the lines can get long.",0.03641539812088013,0.9867367744445801,1,0,1,39,"Successful"
"The food is good. [[Unfortunately]] the service is very hit or miss. The main issue seems to be with the kitchen, the waiters and waitresses are [[often]] very apologetic for the long waits and it's pretty obvious that some of them avoid the tables after taking the initial order to avoid hearing complaints.","The food is good. [[Spectacularly]] the service is very hit or miss. The main issue seems to be with the kitchen, the waiters and waitresses are [[methodically]] very apologetic for the long waits and it's pretty obvious that some of them avoid the tables after taking the initial order to avoid hearing complaints.",0.013590514659881592,0.5512800812721252,0,1,0,81,"Successful"
"Even when we didn't have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually I find 3-4 things and spend about $60) and better still, I am always still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the [[best]] shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a [[sale]]. Selection, bargains AND [[quality]].\n\nI like this Filene's [[better]] than Gabriel Brothers, which are harder to get to. Gabriel Brothers are a real discount shopper's challenge and I'm afraid I didn't live in Pittsburgh long enough to develop the necessary skills . . . Filene's was still up and running in June 2007 when I left town.","Even when we didn't have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually I find 3-4 things and spend about $60) and better still, I am always still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the [[strictest]] shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a [[procuring]]. Selection, bargains AND [[calibre]].\n\nI like this Filene's [[preferable]] than Gabriel Brothers, which are harder to get to. Gabriel Brothers are a real discount shopper's challenge and I'm afraid I didn't live in Pittsburgh long enough to develop the necessary skills . . . Filene's was still up and running in June 2007 when I left town.",0.01689291000366211,0.6080735921859741,1,0,1,164,"Successful"
"Picture Billy Joel's \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and comedy - Welcome to Sing Sing!  A [[unique]] musical experience found in Homestead.\n\nIf you're looking to grab a bite to eat or a beer, come on in!  Serving food and brews from Rock Bottom [[Brewery]], Sing Sing [[keeps]] your tummy full while you listen to two (or more) amazingly talented pianists take your musical requests.  They'll play anything you'd like, for tips of course.  Wanting to hear Britney Spears?  Toto?  Duran Duran?  Yep, they play that... new or old.\n\nThe crowd makes the show, so make sure you come ready for a good time.  If the crowd is dead, it's harder for the Guys to get a reaction.  If you're wanting to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who wouldn't want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!","Picture Billy Joel's \""""Piano Man\"""" DOUBLED mixed with beer, a rowdy crowd, and comedy - Welcome to Sing Sing!  A [[unrivaled]] musical experience found in Homestead.\n\nIf you're looking to grab a bite to eat or a beer, come on in!  Serving food and brews from Rock Bottom [[Booze]], Sing Sing [[detentions]] your tummy full while you listen to two (or more) amazingly talented pianists take your musical requests.  They'll play anything you'd like, for tips of course.  Wanting to hear Britney Spears?  Toto?  Duran Duran?  Yep, they play that... new or old.\n\nThe crowd makes the show, so make sure you come ready for a good time.  If the crowd is dead, it's harder for the Guys to get a reaction.  If you're wanting to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you want to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who wouldn't want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!",0.0092049241065979,0.7403428554534912,1,0,1,245,"Successful"
"[[Mediocre]] service. COLD food! Our food [[waited]] [[so]] long the [[lettuce]] & [[pickles]] [[wilted]]. [[Bland]] food. [[Crazy]] [[overpriced]]. Long waits in the arcade. 1 beer per hour maximum.  Avoid at all [[costs]]. Fair manager.","[[Flimsy]] service. COLD food! Our food [[anticipation]] [[yet]] long the [[jalapeno]] & [[kimchee]] [[leeks]]. [[Prosaic]] food. [[Folly]] [[foreclosed]]. Long waits in the arcade. 1 beer per hour maximum.  Avoid at all [[charges]]. Fair manager.",0.0002866387367248535,0.7953754663467407,0,1,0,390,"Successful"
"[[Ok]]! Let me tell you about my bad experience first. I went to D&B last [[night]] for a post wedding party - which, side note, is a great [[idea]]!\n\nIt was around midnight and the [[bar]] wasn't really populated. There were [[three]] bartenders and only one was actually [[making]] rounds to [[see]] if anyone needed anything. The two other bartenders were [[chatting]] on the far side of the bar that no one was [[sitting]] at. Kind of [[counter]] productive if you [[ask]] me. \n\nI stood there for about 5 [[minutes]], which for a busy bar is fine but when I am the only one with my [[card]] out then, it just seems a little [[ridiculous]]. I made eye contact with the one girl [[twice]] and gave her a smile and she literally turned away. I finally had to walk to them to [[get]] their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I [[finally]] said, \""""Are you working?\"""" and they gave each other a [[weird]] look. I felt like i was the crazy one. I asked for a beer/got the [[beer]].\n\nIn between that time, the other bartender brought [[food]] over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the [[bar]]. What the [[hell]]! I felt like i was in some grimy bar in out in the sticks - not an established D&B. \n\nI was just [[really]] turned off from that experience. \n\nThe good is that D&B provides a different type of [[entertainment]] when you want to mix things up. I remember going here with my grandparents when I was a kid and it was the best treat ever! We would eat at the restaurant and then spend hours playing games. This place holds some really good memories for me. \n\nIt's a shame that my experience last night has spoiled the high standards I held for it.","[[Decent]]! Let me tell you about my bad experience first. I went to D&B last [[blackness]] for a post wedding party - which, side note, is a great [[sight]]!\n\nIt was around midnight and the [[bars]] wasn't really populated. There were [[two]] bartenders and only one was actually [[assuming]] rounds to [[behold]] if anyone needed anything. The two other bartenders were [[discussions]] on the far side of the bar that no one was [[hearing]] at. Kind of [[contend]] productive if you [[wondered]] me. \n\nI stood there for about 5 [[moments]], which for a busy bar is fine but when I am the only one with my [[cards]] out then, it just seems a little [[silly]]. I made eye contact with the one girl [[duplicated]] and gave her a smile and she literally turned away. I finally had to walk to them to [[achieved]] their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I [[possibly]] said, \""""Are you working?\"""" and they gave each other a [[surprising]] look. I felt like i was the crazy one. I asked for a beer/got the [[brewing]].\n\nIn between that time, the other bartender brought [[nutrient]] over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the [[barre]]. What the [[heck]]! I felt like i was in some grimy bar in out in the sticks - not an established D&B. \n\nI was just [[fully]] turned off from that experience. \n\nThe good is that D&B provides a different type of [[delight]] when you want to mix things up. I remember going here with my grandparents when I was a kid and it was the best treat ever! We would eat at the restaurant and then spend hours playing games. This place holds some really good memories for me. \n\nIt's a shame that my experience last night has spoiled the high standards I held for it.",0.002315998077392578,0.5494198799133301,0,1,0,734,"Successful"
"[[I]] used to [[love]] D&B when it first [[opened]] in the [[Waterfront]], but it [[has]] [[gone]] down [[hill]] over the [[years]]. The [[games]] are not as fun and [[do]] not [[give]] you as many [[tickets]] and the [[prizes]] have [[gotten]] cheaper in [[quality]]. It takes a whole [[heck]] of a [[lot]] of [[tickets]] for you to even [[get]] a pencil! The [[atmosphere]] is [[okay]] but it used to be [[so]] much [[better]] with the funnest games and [[diverse]] groups of [[people]]! Now, it is [[run]] down and many of the [[games]] are app related games (Fruit Ninja) and 3D Experience rides. [[With]] such \""""games\"""", you can't even [[earn]] tickets and they take a lot of tokens! [[Last]] [[time]] [[I]] [[went]], back in the winter, many of the games were broken, which [[made]] for a [[negative]] [[player]] experience. I would go to D&B to [[play]] some games again in the [[future]], but it is no longer one of my favorite [[places]] to go due to the decline of fun games where you can earn tickets.","[[me]] used to [[dear]] D&B when it first [[openings]] in the [[Coast]], but it [[did]] [[faded]] down [[slopes]] over the [[ages]]. The [[gaming]] are not as fun and [[does]] not [[rendering]] you as many [[bills]] and the [[prices]] have [[got]] cheaper in [[qualities]]. It takes a whole [[hell]] of a [[afar]] of [[ticket]] for you to even [[acquiring]] a pencil! The [[atmospheric]] is [[eh]] but it used to be [[furthermore]] much [[more]] with the funnest games and [[many]] groups of [[compatriots]]! Now, it is [[enforcing]] down and many of the [[match]] are app related games (Fruit Ninja) and 3D Experience rides. [[In]] such \""""games\"""", you can't even [[victory]] tickets and they take a lot of tokens! [[Previous]] [[era]] [[me]] [[faded]], back in the winter, many of the games were broken, which [[handed]] for a [[inauspicious]] [[ballplayer]] experience. I would go to D&B to [[toy]] some games again in the [[futures]], but it is no longer one of my favorite [[place]] to go due to the decline of fun games where you can earn tickets.",0.0011259913444519043,0.5288047790527344,0,1,0,885,"Successful"
"Like any Barnes & Noble, it has a nice comfy cafe, and a large selection of [[books]].  The [[staff]] is very friendly and [[helpful]].  They [[stock]] a decent [[selection]], and the prices are pretty reasonable.  Obviously it's [[hard]] for them to compete with Amazon.  However [[since]] all the small shop [[bookstores]] are [[gone]], it's [[nice]] to walk into one [[every]] once in a while.","Like any Barnes & Noble, it has a nice comfy cafe, and a large selection of [[lb]].  The [[official]] is very friendly and [[advisable]].  They [[securities]] a decent [[alternatives]], and the prices are pretty reasonable.  Obviously it's [[exacting]] for them to compete with Amazon.  However [[unless]] all the small shop [[booksellers]] are [[dissapeared]], it's [[loverly]] to walk into one [[whatsoever]] once in a while.",0.0005090236663818359,0.673888087272644,1,0,1,263,"Successful"
